id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
117,1,1,SUPER MAMI,DINOSAURIO S.A.,AR-X,SALSIPUEDES,E53 1011 NONE,-31.126667,-64.29525,Super Mami 4,Hipermercado
1011,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN ISIDRO,BERNARDO DE IRIGOYEN 2647,-34.491345,-58.589025,San Isidro,Hipermercado
10110,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,HURLINGHAM,AV. VERGARA 1910,-34.62061,-58.633769,Villa Tesei,Hipermercado
10111,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MALVINAS ARGENTINAS,AV. ARTURO ILLIA 3770,-34.528883,-58.701631000000006,Malvinas Argentinas,Hipermercado
101112,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-A,SALTA,20 DE FEBRERO 37,-24.789072,-65.413699,Salta,Hipermercado
10112,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN JUSTO,AV. DON BOSCO 2680,-34.664628,-58.59735600000001,San Justo,Hipermercado
101123,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-J,SAN JUAN,GRAL. ACHA 32,-31.534016,-68.524744,San Juan,Supermercado
101128,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,COMODORO RIVADAVIA,PELLEGRINI 851,-45.861562,-67.479968,Comodoro Rivadavia,Hipermercado
101136,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-R,GENERAL ROCA,25 DE MAYO 622,-39.030326,-67.573775,General Roca,Supermercado
101139,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,OLAVARRIA,RIVADAVIA 2846,-36.893694,-60.32165,Olavarría,Hipermercado
101142,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-V,RIO GRANDE,AV. SAN MARTIN 685,-53.785009,-67.70299,Río Grande,Supermercado
101147,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-L,SANTA ROSA,AVELLANEDA 151,-36.618338,-64.291249,Santa Rosa,Hipermercado
101149,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-R,BARILOCHE,MORENO 909,-41.136201,-71.29679200000002,Bariloche,Hipermercado
10115,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN MARTIN,AV. SAN MARTIN 420,-34.586322,-58.519449,San Martín,Hipermercado
101156,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN NICOLAS,BARTOLOME MITRE 264,-33.331816,-60.220188,San Nicolás,Hipermercado
101157,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-Q,NEUQUEN,AV. CORONEL OLASCOAGA 350,-38.958858,-68.058932,Neuquén,Hipermercado
101159,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-W,CORRIENTES,AV. FERRE 2985,-27.477092,-58.815872,Corrientes,Hipermercado
10116,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MONTE GRANDE,CAMINO DE CINTURA 2200,-34.780839,-58.457944,Monte Grande,Hipermercado
101161,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-V,USHUAIA,12 DE OCTUBRE 169,-54.815339,-68.334293,Ushuaia,Hipermercado
101162,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,TRELEW,SOBERANIA NACIONAL 140,-43.257504,-65.305489,Trelew,Hipermercado
10117,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-M,GUAYMALLEN,AV. ACCESO ESTE LATERAL SUR NONE,-32.908234,-68.789274,Mendoza Guaymallén,Hipermercado
101171,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-A,SALTA,AV. BICENTENARIO BATALLA DE SALTA 702,-24.781285,-65.401667,Salta III,Hipermercado
101175,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-A,SALTA,AV. ENTRE RIOS 1816,-24.779652,-65.427437,Salta VII,Hipermercado
101178,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-K,SAN FERNANDO DEL VALLE DE CATAMARCA,HIPOLITO YRIGOYEN 1283,-28.477093,-65.778283,Catamarca,Supermercado
101179,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,PUERTO MADRYN,GALES 1315,-42.775492,-65.048586,Puerto Madryn,Hipermercado
10118,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,AV. CIRCUNVALACION NONE,-32.904529,-60.727936,Rosario Fisherton,Hipermercado
101180,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-V,RIO GRANDE,PERU 76,-53.774139,-67.721621,Rio Grande II,Hipermercado
101183,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MASCHWITZ,JUAN BAUTISTA ALBERDI 555,-34.395346999999994,-58.738836,Maschwitz,Hipermercado
1012,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,VICENTE LOPEZ,AV. DEL LIBERTADOR 215,-34.532302,-58.468176,Vicente López,Hipermercado
101204,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,OLIVOS,GOB. UGARTE 1980,-34.516305,-58.494552,Ugarte,Hipermercado
10121,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MORENO,AV. GAONA Y GRAHAM BELL NONE,-34.633337,-58.764283,Moreno,Hipermercado
101210,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,ZARATE,AV. LAVALLE 1879,-34.113271999999995,-59.020315,Zárate,Hipermercado
101214,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,JOSE PEDRO VARELA 4750,-34.610359,-58.516538,Villa Devoto,Hipermercado
101217,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN MIGUEL,AV. PDTE. J. D. PERON 111,-34.553106,-58.69825600000001,Bella Vista,Hipermercado
101219,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. DONATO ALVAREZ 1351,-34.611087,-58.460584,Caballito,Hipermercado
10122,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,MAR DEL PLATA,AV. CONSTITUCION 7598,-37.953878,-57.579192000000006,Mar del Plata,Hipermercado
101220,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. ROOSEVELT 5749,-34.577205,-58.494765,Villa Urquiza,Hipermercado
101227,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,BERNAL,AV. DARDO ROCHA 849,-34.715471,-58.298863,Bernal,Hipermercado
101229,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,PERGAMINO,SANTIAGO DEL ESTERO 1351,-33.900993,-60.55175500000001,Pergamino,Hipermercado
10123,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,ADROGUE,HIPOLITO YRIGOYEN 13500,-34.812068,-58.39941700000001,Adrogué,Hipermercado
101231,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,LOMAS DE ZAMORA,OLIDEN 450,-34.768774,-58.411275,Lomas de Zamora,Hipermercado
101232,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,CAMPANA,COLECTORA NORTE 1647,-34.18654,-58.945418,Campana II,Hipermercado
101233,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-E,CONCORDIA,AV. EVA PERON 2250,-31.368882,-58.011377,Concordia,Hipermercado
101234,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,DON TORCUATO,AV. ANGEL T. DE ALVEAR 1960,-34.491603000000005,-58.62767,Don Torcuato,Hipermercado
101235,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-D,VILLA MERCEDES,AV. 25 DE MAYO 876,-33.675929,-65.469225,Villa Mercedes,Hipermercado
101239,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,GENERAL PACHECO,BOULOGNE SUR MER 301,-34.46134,-58.629233,Gral. Pacheco,Hipermercado
10124,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-X,JARDIN ESPINOZA,AV. O'HIGGINS 3765,-31.455534000000004,-64.166095,Córdoba Jardín,Hipermercado
101240,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-E,GUALEGUAYCHU,AV. PRIMERA JUNTA NONE,-32.991736,-58.521853,Gualeguaychú,Hipermercado
101241,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,LUJAN,AV. PELLEGRINI 1050,-34.561648,-59.103745,Luján,Hipermercado
10125,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,SAN FERNANDO,RUTA 202 NONE,-34.453587,-58.57552800000001,San Fernando,Hipermercado
101259,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,VENADO TUERTO,BVARD. 12 DE OCTUBRE 1060,-33.744187,-61.982983,Venado Tuerto,Hipermercado
10126,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,WARNES 2707,-34.595836,-58.473941,Warnes,Hipermercado
101268,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-S,ROSARIO,PUEYRREDON 747,-32.942435,-60.657028,Rosario Pueyrredón,Hipermercado
101271,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. MONROE 1655,-34.55398,-58.452838,Belgrano,Hipermercado
10128,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,PILAR,AV. LAGOMARSINO 905,-34.454933000000004,-58.894408,Pilar,Hipermercado
10129,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-M,MENDOZA,LAS HERAS 798,-32.885049,-68.848197,Mendoza Azul Centro,Hipermercado
101292,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-U,COMODORO RIVADAVIA,AV. POLONIA 1340,-45.870032,-67.532667,Comodoro Rivadavia Polonia,Hipermercado
101294,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,ITUZAINGO,BLAS PARERA 650,-34.665048,-58.66264,Ituzaingó II,Hipermercado
101297,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,GENERAL RODRIGUEZ,BERNARDO DE IRIGOYEN 1500,-34.611076000000004,-58.941293,Gral. Rodríguez,Supermercado
10130,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. GRAL. PAZ 12950,-34.663863,-58.514126,Mataderos,Hipermercado
10131,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,TANDIL,PANAMA 351,-37.324111,-59.11456800000001,Tandil,Hipermercado
