id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1-1-7,1,1,Super MAMI,Dinosaurio S.A.,AR-X,SALSIPUEDES,E53 1011 None,-31.126667,-64.29525,Super Mami 4,Hipermercado
10-1-1,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Isidro,Bernardo De Irigoyen 2647,-34.491345,-58.589025,San Isidro,Hipermercado
10-1-10,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Hurlingham,Av. Vergara 1910,-34.62061,-58.633769,Villa Tesei,Hipermercado
10-1-11,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Malvinas Argentinas,Av. Arturo Illia 3770,-34.528883,-58.701631000000006,Malvinas Argentinas,Hipermercado
10-1-112,10,1,Hipermercado Carrefour,INC S.A.,AR-A,Salta,20 De Febrero 37,-24.789072,-65.413699,Salta,Hipermercado
10-1-12,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Justo,Av. Don Bosco 2680,-34.664628,-58.59735600000001,San Justo,Hipermercado
10-1-123,10,1,Hipermercado Carrefour,INC S.A.,AR-J,San Juan,Gral. Acha 32,-31.534016,-68.524744,San Juan,Supermercado
10-1-128,10,1,Hipermercado Carrefour,INC S.A.,AR-U,Comodoro Rivadavia,Pellegrini 851,-45.861562,-67.479968,Comodoro Rivadavia,Hipermercado
10-1-136,10,1,Hipermercado Carrefour,INC S.A.,AR-R,General Roca,25 De Mayo 622,-39.030326,-67.573775,General Roca,Supermercado
10-1-139,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Olavarría,Rivadavia 2846,-36.893694,-60.32165,Olavarría,Hipermercado
10-1-142,10,1,Hipermercado Carrefour,INC S.A.,AR-V,Río Grande,Av. San Martín 685,-53.785009,-67.70299,Río Grande,Supermercado
10-1-147,10,1,Hipermercado Carrefour,INC S.A.,AR-L,Santa Rosa,Avellaneda 151,-36.618338,-64.291249,Santa Rosa,Hipermercado
10-1-149,10,1,Hipermercado Carrefour,INC S.A.,AR-R,Bariloche,Moreno 909,-41.136201,-71.29679200000002,Bariloche,Hipermercado
10-1-15,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Martín,Av. San Martín 420,-34.586322,-58.519449,San Martín,Hipermercado
10-1-156,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Nicolás,Bartolomé Mitre 264,-33.331816,-60.220188,San Nicolás,Hipermercado
10-1-157,10,1,Hipermercado Carrefour,INC S.A.,AR-Q,Neuquén,Av. Coronel Olascoaga 350,-38.958858,-68.058932,Neuquén,Hipermercado
10-1-159,10,1,Hipermercado Carrefour,INC S.A.,AR-W,Corrientes,Av. Ferré 2985,-27.477092,-58.815872,Corrientes,Hipermercado
10-1-16,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Monte Grande,Camino De Cintura 2200,-34.780839,-58.457944,Monte Grande,Hipermercado
10-1-161,10,1,Hipermercado Carrefour,INC S.A.,AR-V,Ushuaia,12 De Octubre 169,-54.815339,-68.334293,Ushuaia,Hipermercado
10-1-162,10,1,Hipermercado Carrefour,INC S.A.,AR-U,Trelew,Soberanía Nacional 140,-43.257504,-65.305489,Trelew,Hipermercado
10-1-17,10,1,Hipermercado Carrefour,INC S.A.,AR-M,Guaymallen,Av. Acceso Este Lateral Sur None,-32.908234,-68.789274,Mendoza Guaymallén,Hipermercado
10-1-171,10,1,Hipermercado Carrefour,INC S.A.,AR-A,Salta,Av. Bicentenario Batalla De Salta 702,-24.781285,-65.401667,Salta III,Hipermercado
10-1-175,10,1,Hipermercado Carrefour,INC S.A.,AR-A,Salta,Av. Entre Ríos 1816,-24.779652,-65.427437,Salta VII,Hipermercado
10-1-178,10,1,Hipermercado Carrefour,INC S.A.,AR-K,San Fernando del Valle de Catamarca,Hipólito Yrigoyen 1283,-28.477093,-65.778283,Catamarca,Supermercado
10-1-179,10,1,Hipermercado Carrefour,INC S.A.,AR-U,Puerto Madryn,Gales 1315,-42.775492,-65.048586,Puerto Madryn,Hipermercado
10-1-18,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Rosario,Av. Circunvalación None,-32.904529,-60.727936,Rosario Fisherton,Hipermercado
10-1-180,10,1,Hipermercado Carrefour,INC S.A.,AR-V,Río Grande,Perú 76,-53.774139,-67.721621,Rio Grande II,Hipermercado
10-1-183,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Maschwitz,Juan Bautista Alberdi 555,-34.395346999999994,-58.738836,Maschwitz,Hipermercado
10-1-2,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Vicente López,Av. Del Libertador 215,-34.532302,-58.468176,Vicente López,Hipermercado
10-1-204,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Olivos,Gob. Ugarte 1980,-34.516305,-58.494552,Ugarte,Hipermercado
10-1-21,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Moreno,Av. Gaona Y Graham Bell None,-34.633337,-58.764283,Moreno,Hipermercado
10-1-210,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Zárate,Av. Lavalle 1879,-34.113271999999995,-59.020315,Zárate,Hipermercado
10-1-214,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,José Pedro Varela 4750,-34.610359,-58.516538,Villa Devoto,Hipermercado
10-1-217,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Miguel,Av. Pdte. J. D. Perón 111,-34.553106,-58.69825600000001,Bella Vista,Hipermercado
10-1-219,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,Av. Donato Alvarez 1351,-34.611087,-58.460584,Caballito,Hipermercado
10-1-22,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Mar del Plata,Av. Constitución 7598,-37.953878,-57.579192000000006,Mar del Plata,Hipermercado
10-1-220,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,Av. Roosevelt 5749,-34.577205,-58.494765,Villa Urquiza,Hipermercado
10-1-227,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Bernal,Av. Dardo Rocha 849,-34.715471,-58.298863,Bernal,Hipermercado
10-1-229,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Pergamino,Santiago Del Estero 1351,-33.900993,-60.55175500000001,Pergamino,Hipermercado
10-1-23,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Adrogué,Hipólito Yrigoyen 13500,-34.812068,-58.39941700000001,Adrogué,Hipermercado
10-1-231,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Lomas de Zamora,Oliden 450,-34.768774,-58.411275,Lomas de Zamora,Hipermercado
10-1-232,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Campana,Colectora Norte 1647,-34.18654,-58.945418,Campana II,Hipermercado
10-1-233,10,1,Hipermercado Carrefour,INC S.A.,AR-E,Concordia,Av. Eva Perón 2250,-31.368882,-58.011377,Concordia,Hipermercado
10-1-234,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Don Torcuato,Av. Ángel T. De Alvear 1960,-34.491603000000005,-58.62767,Don Torcuato,Hipermercado
10-1-235,10,1,Hipermercado Carrefour,INC S.A.,AR-D,Villa Mercedes,Av. 25 De Mayo 876,-33.675929,-65.469225,Villa Mercedes,Hipermercado
10-1-239,10,1,Hipermercado Carrefour,INC S.A.,AR-B,General Pacheco,Boulogne Sur Mer 301,-34.46134,-58.629233,Gral. Pacheco,Hipermercado
10-1-24,10,1,Hipermercado Carrefour,INC S.A.,AR-X,Jardin Espinoza,Av. O'Higgins 3765,-31.455534000000004,-64.166095,Córdoba Jardín,Hipermercado
10-1-240,10,1,Hipermercado Carrefour,INC S.A.,AR-E,Gualeguaychu,Av. Primera Junta None,-32.991736,-58.521853,Gualeguaychú,Hipermercado
10-1-241,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Luján,Av. Pellegrini 1050,-34.561648,-59.103745,Luján,Hipermercado
10-1-25,10,1,Hipermercado Carrefour,INC S.A.,AR-B,San Fernando,Ruta 202 None,-34.453587,-58.57552800000001,San Fernando,Hipermercado
10-1-259,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Venado Tuerto,Bvard. 12 De Octubre 1060,-33.744187,-61.982983,Venado Tuerto,Hipermercado
10-1-26,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,Warnes 2707,-34.595836,-58.473941,Warnes,Hipermercado
10-1-268,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Rosario,Pueyrredón 747,-32.942435,-60.657028,Rosario Pueyrredón,Hipermercado
10-1-271,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,Av. Monroe 1655,-34.55398,-58.452838,Belgrano,Hipermercado
10-1-28,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Pilar,Av. Lagomarsino 905,-34.454933000000004,-58.894408,Pilar,Hipermercado
10-1-29,10,1,Hipermercado Carrefour,INC S.A.,AR-M,Mendoza,Las Heras 798,-32.885049,-68.848197,Mendoza Azul Centro,Hipermercado
10-1-292,10,1,Hipermercado Carrefour,INC S.A.,AR-U,Comodoro Rivadavia,Av. Polonia 1340,-45.870032,-67.532667,Comodoro Rivadavia Polonia,Hipermercado
10-1-294,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Ituzaingó,Blas Parera 650,-34.665048,-58.66264,Ituzaingó II,Hipermercado
10-1-297,10,1,Hipermercado Carrefour,INC S.A.,AR-B,General Rodríguez,Bernardo De Irigoyen 1500,-34.611076000000004,-58.941293,Gral. Rodríguez,Supermercado
10-1-30,10,1,Hipermercado Carrefour,INC S.A.,AR-C,Ciudad Autónoma de Buenos Aires,Av. Gral. Paz 12950,-34.663863,-58.514126,Mataderos,Hipermercado
10-1-31,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Tandil,Panamá 351,-37.324111,-59.11456800000001,Tandil,Hipermercado
10-1-32,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Rosario,C. Pellegrini 3250,-32.951846999999994,-60.670442,Rosario Centro,Hipermercado
10-1-33,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Rosario,Necochea 2579,-32.970122,-60.62856,Rosario Sur,Hipermercado
10-1-36,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Ituzaingó,Av. Ing. Ratti 1860,-34.647756,-58.688217,Ituzaingó,Hipermercado
10-1-40,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Temperley,Av. Eva Perón 2679,-34.763559,-58.36439100000001,Temperley,Hipermercado
10-1-41,10,1,Hipermercado Carrefour,INC S.A.,AR-S,Rosario,Eva Perón 5856,-32.934019,-60.702038,Rosario Village,Supermercado
10-1-42,10,1,Hipermercado Carrefour,INC S.A.,AR-B,Merlo,Av. Argentina 1915,-34.679311,-58.72799200000001,Merlo,Hipermercado
